dt_referencia,seller_id,dt_ultima_venda,receita_total,qtde_venda,qtde_itens_total,qtde_itens_distintos_total,frete_total,receita_por_venda,qtde_itens_por_venda,frete_por_venda,frete_por_item,proporcao_ativacao,qtde_venda_futura,flag_churn
2017-01-01,011b0eaba87386a2ae96a7d32bb531d1,2016-10-06 07:08:15,100.0,1,2,1,29.18,100.0,2,29.0,14.59,0.17,0,1
2017-01-01,01cf7e3d21494c41fb86034f2e714fa1,2016-10-06 18:03:01,70.0,1,1,1,19.26,70.0,1,19.0,19.26,0.17,23,0
2017-01-01,024b564ae893ce8e9bfa02c10a401ece,2016-10-05 12:41:38,468.0,1,6,1,157.8,467.0,6,158.0,26.3,0.17,1,0
2017-01-01,0307f7565ff85b299b6e5ef162b1b1a9,2016-10-10 18:09:39,17.0,1,1,1,10.96,17.0,1,11.0,10.96,0.17,5,0
2017-01-01,0336182e1b3e92f029d5354832045fdf,2016-10-05 19:09:33,30.0,1,2,2,17.57,30.0,2,18.0,8.785,0.17,0,1
2017-01-01,05ff92fedb5be47920fea08e501238b9,2016-10-04 16:02:18,89.0,1,1,1,32.01,89.0,1,32.0,32.01,0.17,15,0
2017-01-01,066a6914e1ebf3ea95a216c73a986b91,2016-10-06 17:10:05,80.0,1,1,1,11.38,80.0,1,11.0,11.38,0.17,16,0
2017-01-01,0747d5bb69f0586cc869d8af4c50f93e,2016-10-07 09:33:06,73.0,2,2,2,30.57,36.0,1,15.0,15.285,0.17,8,0
2017-01-01,0c8380b62e38e8a1e6adbeba7eb9688c,2016-10-09 22:36:25,200.0,2,4,2,72.34,100.0,2,36.0,18.085,0.17,62,0
2017-01-01,0db783cfcd3b73998abc6e10e59a102f,2016-10-09 11:33:12,70.0,2,2,1,32.1,35.0,1,16.0,16.05,0.17,23,0
2017-01-01,0ea22c1cfbdc755f86b9b54b39c16043,2016-10-10 12:54:37,155.0,3,4,3,77.83,52.0,1,26.0,19.4575,0.17,46,0
2017-01-01,11305281b50fff20ae8bb473f8e11876,2016-10-09 13:31:57,45.0,1,1,1,15.53,45.0,1,16.0,15.53,0.17,4,0
2017-01-01,13e85aac53340018b40c2af68001b7e0,2016-10-08 22:41:36,18.0,1,1,1,14.12,18.0,1,14.0,14.12,0.17,0,1
2017-01-01,1554a68530182680ad5c8b042c3ab563,2016-10-10 15:50:01,253.0,5,5,3,84.86,51.0,1,17.0,16.972,0.17,40,0
2017-01-01,184a67a8f9f63234d3a92340bbdb727f,2016-10-05 19:09:33,66.0,1,3,3,47.910000000000004,67.0,3,48.0,15.97,0.17,2,0
2017-01-01,2138ccb85b11a4ec1e37afbd1c8eda1f,2016-10-06 20:05:04,50.0,2,2,2,29.520000000000003,25.0,1,15.0,14.760000000000002,0.17,90,0
2017-01-01,229c3efbfb0ea2058de4ccdfbc3d784a,2016-10-05 07:31:49,75.0,1,1,1,20.58,75.0,1,21.0,20.58,0.17,4,0
2017-01-01,23613d49c3ac2bd302259e55c06c050c,2016-10-08 21:12:48,16.0,1,1,1,14.52,16.0,1,15.0,14.52,0.17,3,0
2017-01-01,25e6ffe976bd75618accfe16cefcbd0d,2016-10-06 19:38:12,88.0,1,1,1,11.23,88.0,1,11.0,11.23,0.17,18,0
2017-01-01,2f4b9d112bfa44a214bc6cef085d17c8,2016-10-07 10:06:58,19.0,1,1,1,22.28,19.0,1,22.0,22.28,0.17,3,0
2017-01-01,3481aa57cd91f9f9d3fa1fa12d9a3bf7,2016-10-10 10:28:51,110.0,2,2,2,43.12,55.0,1,22.0,21.56,0.17,15,0
2017-01-01,3606774ec64634822d78dc2db6d37045,2016-10-04 23:39:01,180.0,1,1,1,16.37,180.0,1,16.0,16.37,0.17,1,0
2017-01-01,38874e327ce94d11390b96eb42d61928,2016-10-08 10:31:00,690.0,1,1,1,93.23,690.0,1,93.0,93.23,0.17,3,0
2017-01-01,38e679b9e0064cd94c6f035707344dae,2016-10-06 18:11:11,45.0,1,1,1,20.8,45.0,1,21.0,20.8,0.17,7,0
2017-01-01,391fc6631aebcf3004804e51b40bcf1e,2016-10-09 23:25:13,917.0,8,13,10,240.01000000000005,115.0,1,30.0,18.462307692307697,0.17,37,0
2017-01-01,432c67955c0acd1fd6b0b5d678766a71,2016-10-08 18:39:08,389.0,1,1,1,60.65,389.0,1,61.0,60.65,0.17,1,0
2017-01-01,440dd6ab244315c632130ecfb63827b1,2016-10-08 10:26:41,260.0,3,3,3,69.69,87.0,1,23.0,23.23,0.17,13,0
2017-01-01,45d33f715e24d15a6ccf5c17b3a23e3c,2016-10-03 21:13:36,36.0,1,1,1,17.24,36.0,1,17.0,17.24,0.17,17,0
2017-01-01,46dc3b2cc0980fb8ec44634e21d2718e,2016-10-10 15:20:14,2245.0,9,10,8,182.01000000000002,249.0,1,20.0,18.201,0.17,32,0
2017-01-01,48efc9d94a9834137efd9ea76b065a38,2016-12-23 23:16:47,11.0,1,1,1,8.72,11.0,1,9.0,8.72,0.17,32,0
2017-01-01,4b1eaadf791bdbbad8c4a35b65236d52,2016-10-04 09:16:33,32.0,1,1,1,11.74,32.0,1,12.0,11.74,0.17,6,0
2017-01-01,4b90495391ac0bd181a80a459df1e718,2016-10-05 22:24:40,248.0,1,1,1,18.11,248.0,1,18.0,18.11,0.17,0,1
2017-01-01,4bde6149c15cf7e177b36fa060dd6de8,2016-10-10 11:22:36,160.0,2,2,2,32.66,80.0,1,16.0,16.33,0.17,0,1
2017-01-01,4d600e08ecbe08258c79e536c5a42fee,2016-10-06 10:12:12,1282.0,2,2,2,42.53,641.0,1,21.0,21.265,0.17,5,0
2017-01-01,4e922959ae960d389249c378d1c939f5,2016-10-10 17:49:21,19.0,1,1,1,14.52,19.0,1,15.0,14.52,0.17,33,0
2017-01-01,515d781150feed28a6ac091bb0e3cb8c,2016-10-07 21:50:26,212.0,1,1,1,25.57,212.0,1,26.0,25.57,0.17,0,1
2017-01-01,522620dcb18a6b31cd7bdf73665113a9,2016-10-10 14:20:38,709.0,3,3,3,63.52,236.0,1,21.0,21.173333333333336,0.17,37,0
2017-01-01,54aa8463e87776b5612f4bdc4bd5d4de,2016-10-07 10:57:46,270.0,1,1,1,16.65,270.0,1,17.0,16.65,0.17,6,0
2017-01-01,56642bcb79900e777d68e91915cb4267,2016-10-10 18:05:54,203.0,2,2,2,28.68,102.0,1,14.0,14.34,0.17,15,0
2017-01-01,575df70bde3f9f2b30bf8d2e9910d725,2016-10-06 15:19:40,400.0,1,2,1,67.4,400.0,2,67.0,33.7,0.17,7,0
2017-01-01,59fb871bf6f4522a87ba567b42dafecf,2016-10-06 10:13:53,110.0,1,1,1,16.26,110.0,1,16.0,16.26,0.17,34,0
2017-01-01,5a8e7d5003a1f221f9e1d6e411de7c23,2016-10-04 22:03:46,120.0,1,2,1,29.66,120.0,2,30.0,14.83,0.17,19,0
2017-01-01,5b179e9e8cc7ab6fd113a46ca584da81,2016-10-07 11:20:34,620.0,4,6,2,97.75000000000001,155.0,1,24.0,16.291666666666668,0.17,6,0
2017-01-01,5bba18b40e8c973b0f32e748004775b0,2016-10-10 13:57:41,740.0,1,1,1,44.82,740.0,1,45.0,44.82,0.17,0,1
